,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.6833333333333333,0.2790831646163426,0.9117647058823529,0.5010266854881743,0.19707716011086338,5.089270217090309
Forest,0.9878048780487805,0.953865815556992,0.8647058823529412,0.9169448845093439,0.08672907095344794,0.1071211639395883
LogReg,0.9873983739837398,0.9505313765182186,0.8647058823529411,0.9058637015398859,0.07347108637885415,0.06410473166593819
LDA,0.9857723577235771,0.930303724053724,0.8588235294117648,0.880631910571793,0.07298996175386699,0.4467482491810172
KNN,0.966260162601626,0.9999999999999999,0.5117647058823529,0.7352146716759765,0.18926785969118357,0.6163650377031851
SVM,0.986991869918699,0.9423870573870573,0.8647058823529412,0.9011091367798771,0.07164370739218137,0.06846644576109047
