,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.21976744186046512,0.06787142581550468,0.8529411764705881,0.286959106421545,0.4796692333331746,10.393537029353817
Forest,0.9372093023255813,0.559404761904762,0.22352941176470587,0.41758380019220404,0.2757938092745031,0.391924352373644
LogReg,0.9387596899224806,0.6171428571428572,0.27058823529411763,0.49260709668747954,0.2846187300323411,0.17894444723770728
LDA,0.937596899224806,0.5338897286923603,0.45882352941176463,0.5065373380734951,0.2679450233650359,0.48797261236376727
KNN,0.934108527131783,0.3708333333333334,0.09411764705882353,0.29130127639213743,0.3552871922519336,0.865163382368962
SVM,0.9445736434108528,0.617661456190868,0.41764705882352937,0.3846337717708629,0.29317496214578376,0.19146169194512397
