,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.23488372093023255,0.07378193922348797,0.9117647058823528,0.2212477835557016,0.419859750436621,10.22887638279139
Forest,0.9337209302325582,0.39999999999999997,0.047058823529411764,0.2734829100495615,0.3703057387999954,0.3808704165851995
LogReg,0.9337209302325582,0.0,0.0,0.2508344231256438,0.4373870777832723,0.2409922570242287
LDA,0.9081395348837208,0.3010103866721514,0.29411764705882354,0.25816687786380377,0.3468319480906859,0.3813607364463144
KNN,0.9306201550387596,0.02857142857142857,0.011764705882352941,0.13899996777505141,0.4130055066641038,0.9631610574633528
SVM,0.9321705426356589,0.014285714285714285,0.0058823529411764705,0.1392704745169071,0.41924982618911955,0.2518914932017023
