,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.27441860465116275,0.08129523951214168,0.888235294117647,0.2841970089100556,0.4343538418633485,9.156809806574334
Forest,0.9356589147286822,0.5271428571428571,0.13529411764705881,0.41039138450394386,0.298922813437029,0.2295805499323982
LogReg,0.9515503875968992,0.7547591297591296,0.41764705882352937,0.5197816466971862,0.2687020128505305,0.1782461248524937
LDA,0.9468992248062016,0.6539905854379537,0.4764705882352941,0.5272284153728921,0.26204218648365435,0.3808784956280252
KNN,0.9379844961240309,0.5878571428571429,0.1588235294117647,0.2915175465510955,0.3386613235877663,0.9139793939832417
SVM,0.954263565891473,0.7454195804195805,0.47058823529411764,0.4521546567048094,0.2725860391265719,0.17623818345953068
