,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.9515151515151515,0.9537710698314413,0.9511029411764705,0.9417106270603043,0.04889705882352942,1.674626724646846
Forest,0.9515151515151515,0.9590686274509803,0.9452205882352941,0.9800348366197027,0.03535441176470589,0.4872356695411414
LogReg,0.9090909090909092,0.948864709851552,0.8658088235294118,0.9710722877430653,0.1517694784999982,0.4701713524432329
LDA,0.9242424242424243,0.9503070175438598,0.8966911764705883,0.9616449230235891,0.07467145024360472,0.8713604906881921
KNN,0.9090909090909091,0.9494076962768914,0.8654411764705883,0.9599863454866526,0.06088562091503268,1.0284945825691176
SVM,0.9363636363636364,0.9638994545186496,0.9084558823529412,0.9761177085973062,0.05632018934420438,0.2255957099559285
