,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.6939393939393939,0.8124913244650087,0.48933823529411763,0.8011803799385703,0.3064627409075843,8.706526154960494
Forest,0.8787878787878788,0.9212698412698412,0.8334558823529412,0.9149611845222921,0.11880605950718416,0.49309589095627226
LogReg,0.8878787878787879,0.9259116541353384,0.8455882352941176,0.9177815601858201,0.14524936259400925,0.4833357437123404
LDA,0.9030303030303031,0.9423809523809524,0.8580882352941177,0.9057901446111756,0.0932243306835657,0.7771020865976698
KNN,0.8424242424242423,0.929733893557423,0.7411764705882353,0.8744512874824408,0.1384136465881118,2.5284234495244458
SVM,0.896969696969697,0.9423809523809524,0.8455882352941176,0.921103203425541,0.09099833670333168,0.3365524481519649
