,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.4942857142857143,0.48810105363984674,0.8647058823529412,0.5724209953895809,0.49031981369552047,9.99956347068798
Forest,0.6657142857142857,0.6616298098186643,0.6470588235294118,0.6705803123429653,0.22167865856742985,0.6370775623032321
LogReg,0.7171428571428571,0.7063162194702443,0.723529411764706,0.6920365473910465,0.20805296069792978,0.6056267364706691
LDA,0.7285714285714284,0.7026714513556619,0.7823529411764706,0.6782429942763771,0.23430358977340895,1.1516567574729413
KNN,0.66,0.6917246642246643,0.5588235294117646,0.6609382708267699,0.23265116649659562,1.298555066318056
SVM,0.7428571428571428,0.6971452293836194,0.8411764705882354,0.7204087438790281,0.20035439769719166,0.5980116364557946
