,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.2682170542635659,0.07536219439217479,0.8294117647058825,0.14172253578260127,0.46240661125188215,12.41695209594133
Forest,0.9313953488372093,0.1,0.0058823529411764705,0.16022881555509697,0.41242422795895195,0.4953568328862951
LogReg,0.9341085271317829,0.0,0.0,0.1406754825172449,0.44060785267798813,0.24284536683413546
LDA,0.9096899224806201,0.14555555555555555,0.08235294117647057,0.14921554371278645,0.4271341835829954,0.36947906380353585
KNN,0.9341085271317829,0.05,0.0058823529411764705,0.09755015609043843,0.43037873264825505,1.194478851711904
SVM,0.9313953488372092,0.0,0.0,0.06961011569765278,0.43509464626883304,0.24859969385195105
