,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.34767441860465115,0.10547882118507662,0.9235294117647058,0.3256241046092613,0.36236509680195533,8.575528825552597
Forest,0.945736434108527,0.68754329004329,0.3352941176470588,0.6703515015085135,0.18079344276209622,0.12386821162974188
LogReg,0.9573643410852714,0.6521451355661881,0.7294117647058823,0.6475333185019472,0.1299879395945527,0.09826332061222108
LDA,0.9631782945736435,0.6597826086956522,0.911764705882353,0.6838136973642018,0.060663532770856225,0.40760109706598663
KNN,0.9461240310077519,0.6046459096459097,0.488235294117647,0.5133302911463574,0.18888014276387138,0.5776558862385247
SVM,0.962403100775194,0.6610144927536231,0.8823529411764706,0.6438279462850862,0.12743245369858489,0.1041548175441713
