,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.5757575757575757,0.5397832032426025,0.9562499999999999,0.6248964453975587,0.4158432928874304,9.833745465255484
Forest,0.8545454545454546,0.863381455146161,0.8466911764705882,0.9028615747809718,0.14581356549141494,0.4694818057427101
LogReg,0.8515151515151516,0.8482760445608744,0.8584558823529411,0.8767044849963713,0.14209608456711345,0.45373262752412746
LDA,0.8575757575757575,0.8509293690485642,0.8709558823529411,0.8934103935154979,0.13005047939525807,0.5847651409041174
KNN,0.8303030303030303,0.8402955541190835,0.8161764705882353,0.8271444568665006,0.16470236234989863,0.6039961647777785
SVM,0.8727272727272728,0.8569059904663621,0.8955882352941177,0.9024382404200688,0.11479026700309633,0.3922907034752419
