,Accuracy,Precision,Recall,avPrecision,Brier,logLoss
Naive_Bayes,0.7441860465116279,0.2388838670633237,0.911764705882353,0.40467597093613267,0.17286778081968712,3.8742950147256296
Forest,0.9488372093023256,0.6913537851037852,0.4058823529411764,0.7003429729872482,0.17711156650077725,0.16737078679180478
LogReg,0.9550387596899224,0.6742728758169935,0.6352941176470588,0.6773844560416363,0.15335558265625443,0.11283633788524608
LDA,0.9616279069767442,0.6644021865074496,0.8705882352941177,0.695794021897992,0.08066279753745537,0.4931151800060992
KNN,0.9430232558139535,0.6298912198912199,0.35294117647058826,0.511801916243117,0.2464378127918634,0.5093582056758668
SVM,0.9577519379844961,0.6483861046361046,0.8117647058823529,0.6531840690902458,0.15133704944549142,0.12196871307100515
